title,company,location,avg_salary,description,redirect_url,experience_level,soc_code,job_category,matched_skills
Cloud Engineer,Motion Recruitment,"Homestead, PA",,"A rapidly growing Chicago based technology company is looking for an experienced Cloud Engineer to join their team. This organization is recognized for its outstanding track record and has ranked highly in its market including a top 50 spot in Company Culture and Best Places to work. The Cloud Engineer will have excellent skills with Cloud Platforms, IaC, security applications and containerization tools.Join a company with a great startup culture and is aggressively expanding. This organization is completely emphasized on growth, on the large scale and individual level. This team thrives on creative thinking and collaboration, making it an ideal environment for those seeking career advancement and a flexible work life balance.Required Skills & Experience4+ years of experience in DevOps roles or similar Experience improving and maintaining CI/CD pipelines Proficiency in cloud platforms such as AWS and GCP Experience implementing Security, Automation and Monitoring tools Strong knowledge in IaC including Terraform Ability to effectively use containerization tools Desired Skills & ExperienceExperience working on large scale projects within a team DevSecOps background Experience maintaining YAML configurations Ability to develop cost effective Cloud Platform solutions What You Will Be DoingTech Breakdown60% Cloud Infrastructure (AWS, Terraform, GCP, Kubernetes) 30% Monitoring and Security (CloudWatch, Prometheus) 10% RDBMS (Oracle, SqlServer) Daily ResponsibilitiesMaintain and improve Cloud Infrastructure Implement Automations to streamline infrastructure processes Utilize security and monitoring best practices to ensure system integrity Troubleshoot and resolve any infrastructure issues Maintain and improve CI/CD pipelines The OfferYou Will Receive The Following BenefitsMedical, Dental, and Vision Insurance Unlimited PTO Paid Maternity and Maternity leave Continuous Learning Allowance Stock Options Applicants must be currently authorized to work in the US on a full-time basis now and in the future.Posted By: Gabriel Pettas",https://motionrecruitment.com/tech-jobs/pittsburgh/direct-hire/cloud-engineer-/771120?utm_source=linkedin&utm_medium=feed&utm_campaign=paid-20210428,Entry level,15-1251,Cloud Engineer,"['aws', 'devops', 'kubernetes', 'terraform']"
AWS Cloud Engineer/DevOps Engineer,Cognizant,"Pittsburgh, PA",,"About The GroupCognizant’s Cloud, Infrastructure, and Security Services Practice (CIS), is all about accepting digital transformation by driving core modernization holistically across layers. We help customers transform infrastructure and workplace to meet the constantly evolving needs of the digital era. Our broad approach delivers key results for our customers by achieving cloud driven modernization and workplace and operational transformation to own the business in a secure environment.Role Title: AWS Cloud Engineer/DevOps EngineerLocation: Pittsburgh, Dallas, Birmingham, ClevelandKey ResponsibilitiesLooking for a seasoned and impact-driven Sr. DevOps Engineer with 10+ years of experience automating and optimizing cloud infrastructure across AWS, multi-cloud, and hybrid environments.Mandatory Skills:  Ansible,  Terraform,  Python,  Power ShellJob Responsibilities Lead the development of Ansible roles for Linux security hardening and Windows patching. Automate EC2 provisioning using Terraform and Ansible, achieve reduction in manual effort and migrated PowerShell-based services into Ansible Tower, cutting run failures. Built reusable Terraform modules to standardize VPC, EC2, and DNS provisioning across DR environments. Lead the Ansible-based automation of Linux nodes and develop hybrid-cloud provisioning workflows with Packer and Terraform to standardize and secure infrastructure baselines. Highly proficient in Terraform, Ansible, Python, and PowerShell, with extensive hands-on expertise across both Linux and Windows platforms. Strong background in designing and implementing Infrastructure-as-Code (IaC), CI/CD pipelines, and compliance enforcement in regulated enterprise environments. Championed the adoption of Terraform across engineering teams, significantly improving provisioning speed and consistency. Automated the deployment of monitoring agents via Ansible and shell scripts, increasing infrastructure visibility. Automated infrastructure provisioning using Ansible and CloudFormation. Built Python tools to generate weekly audit reports by aggregating compliance scanner output, supporting regulatory reporting workflows. Design multi-region Terraform modules for VPC, IAM, and EKS Develop Python scripts to validate compliance and enforce tagging standards during pipeline executions Migrate PowerShell-based Windows services to Ansible Tower Lead infrastructure automation for security scanning platform rollout Orchestrate full-stack deployments using Ansible and Terraform Build reusable Terraform modules for VPC, security groups, EC2, and DNS zones, improving disaster recovery environment consistency. Automated Linux provisioning scripts for audit compliance checks, reducing the manual patching backlog Design cross-platform backup solutions using Ansible and native cloud SDKs Partner with security teams to deploy open-source scanners via IaC pipelines, ensuring alignment with company policies Automate multi-cloud infrastructure using Terraform and Ansible, reducing provisioning cycle times Develop PowerShell and Bash scripts to enforce configuration policies across hybrid environments Create hardened AMI images for Linux and Windows using Packer and Ansible Write Terraform modules for GCP and AWS resource creation, standardizing access patterns and resource tagging. Deploy monitoring agents using Ansible and shell scripts Design Terraform templates for rapid cloud resource provisioningInfrastructure Automation: Terraform (IaC), Ansible, CloudFormationCloud Platforms: AWS, Azure, GCP – EC2, VPC, AKS, GKE, Lambda, DNSScripting & Programming: Python, Bash, Shell, PowerShellOS & Platforms: Linux (Ubuntu, RHEL), Windows Server, Containers, KubernetesCI/CD & Tools: Jenkins, GitLab CI/CD, GitHub Actions, ArgoCDMonitoring: Prometheus, Grafana, Datadog, ELKBenefitsCognizant offers the following benefits for this position, subject to applicable eligibility requirements:Medical/Dental/Vision/Life Insurance. Paid holidays plus Paid Time Off. 401(k) plan and contributions. Long-term/Short-term Disability. Paid Parental Leave. Employee Stock Purchase Plan. Eligible for Cognizant’s discretionary annual incentive program, based on performance and subject to the terms of Cognizant’s applicable plans.",https://www.linkedin.com/jobs/view/aws-cloud-engineer-devops-engineer-at-cognizant-4310971864,Entry level,15-1251,Cloud Engineer,"['ansible', 'aws', 'azure', 'devops', 'jenkins', 'linux', 'python', 'terraform']"
Senior Cloud Engineer (Hybrid),Dollar Bank,"Pittsburgh, PA",,"Job DescriptionBachelor's degree in computer science, Information Systems, or other related field, or commensurate experience.Five Years’ Experience WithCloud platforms like Amazon Web Services, or Microsoft Azure.Scripting via languages like PowerShell or Python.Microsoft Server and Client Operating Systems.Troubleshooting server and system-related issues.Certificate, Licenses And Registration RequirementsAWS or Azure Associate Certifications or greater is required.Knowledge, Skill, And Ability RequirementsAdvanced knowledge of:DevOps principals and methodologiesAgile methodologiesCloud migration strategiesCloud governance conceptsJSON, and YAMLActive Directory, DNS, DHCP, Databases, Virtual Servers and Networking ConceptsIntermediate Knowledge OfCloud networking conceptsCloud security conceptsSecurity concepts, in particular PII, PCI, SOX and GLBANetwork protocols, especially TCP/IPIT management software like Microsoft Endpoint Configuration Manager, BigFix, or AWS Systems ManagerMust be willing to work a variable schedule as needed including early mornings, evenings, weekends and/or holidays.Must be willing to be on call to support critical systems and services.Must have the ability to work independently with minimal supervision.Must be able to work in a team-oriented environment.This position is hybrid and requires in office hours.Preferred QualificationsEngineer level experience within common cloud AWS environments (AWS, Azure, etc.) including network, storage, compute, security, and serverless.Experience with implementing Infrastructure as Code (IaC) into infrastructure and CICD pipelines.Experience with calculating and forecasting cloud expenditures.Experience working in a highly regulated environment.Essential FunctionsDesign, implement, and maintain cloud native, hybrid and on-premises technology systems. There will be a strong focus on cloud systems.Design, develop, implement and maintain scalable and highly available technology systems.Create and mature cloud systems, applications, policies, and governance.Implement and maintain our automated infrastructure provisioning and lifecycle management.Consult with teams to streamline infrastructure systems with software development lifecycles.Monitor the health of operating systems and serversTroubleshoot and maintain system integrity, servers, operating systems, and application related issues.Prioritize and work on IT incidents, requests, and projects from conception through implementation.Work with team members, business unit personnel, and vendors to configure servers and systems.Perform general system maintenance of hardware, servers, operating systems, applications, patches and vulnerability management as directed.Provide technical support and escalate issues to management after an appropriate SLA.Provide guidance and support to Level 1 and Level 2 team members by assisting with issue resolution, escalations, and knowledge sharing.Assist management with the design and development of training materials.Responsible for verification and assurance that the delivered system/application meets established standards and business unit needs.Interact and engage with other team members and business unit personnel.Assist in disaster recovery testing.Implement system changes following change control procedures.All employees have the responsibility and the accountability to serve as risk managers for their businesses by understanding, reporting, responding to, managing and monitoring the risk they encounter daily as required by Dollar Bank’s risk management program. Compliance with regulatory laws and company procedures is a required component of all position descriptions.Address 1Liberty Commons BuildingAddress 22700 Liberty AvenueEmployment StatusFull-timeFLSAExemptSchedule InformationM-F 8:30-4:30pmBenefits InformationFull-time employees are eligible for a comprehensive benefits package including medical, dental, vision, 401(k) with immediate vesting, tuition reimbursement, and gym membership reimbursement.Part-time employees qualify for 401(k) with immediate vesting, tuition reimbursement, and gym reimbursement.For more information, please visit http://www.dollar.bank/company/careers/benefits.EEO StatementDollar Bank is an Equal Opportunity Employer.Minority/Female/Veteran/Disabled",,Mid-Senior level,15-1251,Cloud Engineer,"['aws', 'azure', 'devops', 'python']"
"Software Engineer, 2025 Recent Graduate",Duolingo for Schools,"Pittsburgh, PA",,"Our mission at Duolingo is to develop the best education in the world and make it universally available. It’s a big mission, and that’s where you come in!At Duolingo, you’ll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. You’ll have limitless learning opportunities and daily collaborations with world-class minds — while doing work that’s both meaningful and fun.Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.Read our blog to learn more. You will...Contribute to full-stack software projects by developing, testing, and maintaining features and services.Develop, release, and maintain services and/or infrastructureLead individual project priorities, deadlines, and deliverablesContribute to code reviews and collaborate across teams to ensure quality and scalability You have...Graduated between Spring 2024 - Spring 2025 Graduated with a B.S. or M.S. degree in Computer Science or related technical field (i.e. math, physics or data science)0-1 years of experience programming in one or more of the following languages: Java, Python, Kotlin or Swift.Dedication to our mission of universally available educationAbility to start and relocate by December 2025 Exceptional candidates will have...A GPA of 3.5+A Duolingo streak Why you'll love working here...Language learning opportunitiesCatered in-house lunches and breakfastCompany-wide HackathonPTO and company holidaysFrequent company-wide dinners, monthly celebrations, social clubs, and so much more!Take a peek at how we care for our employees' holistic well-being with our benefits here.We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact accommodations@duolingo.com.Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.Sign up for job alerts here.We post a multi-level salary range for all of our roles.This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.Salary Range$135,000—$200,000 USD",,Entry level,15-1251,Cloud Engineer,"['data science', 'java', 'python', 'spring', 'swift']"
"Cloud Engineer, Senior",UPMC,"Pittsburgh, PA",,"UPMC is looking for a Cloud Engineer to join their team. This position will be Hybrid- primarily remote but will require on-site work when needed.Purpose:UPMC is looking to hire a Senior Cloud Engineer to work within the Corporate Technology Services Team. This position will be working on a team that has three major goals: Innovation, Collaboration, and Continuous Improvement, on a 360 platform, responsible for Cloud Strategy including, but not limited to Infrastructure, Security, Architecture, and Governance. Under the general direction of management, this Senior position requires a degree of technical expertise in the areas of cloud, security, network, and systems design to drive development, DevOps, implementation, and automation across various domains and projects. Technical experience and analytical capabilities to troubleshoot complex systems. Define project plans, implement, and maintain Cloud environments, and provide services to meet client and business needs within budget and targeted deadlines.Responsibilities:While under the direction of management and other senior team members, the Senior Cloud Engineer, maintains systems, participates in projects, provides end user and application support, contributes to team documentation, and continually contributes to process improvement.Plan and execute on technical design, delivery, and architecture on major new platforms and products for a team of engineers. Analyze customer needs, create technical designs and documents as needed. Document Cloud policies, and procedures. Perform research and analysis required for project proposals, system modifications, and new products. Review Cloud tool sets regularly for efficiency, cost, and performance. Conduct research on cloud environment issues and attend meetings to propose technical solutions for user requests. Own the overall system design, security, scalability, reliability, and performance of Cloud projects. Implement tools and processes to maximize efficiency and automation. Oversee and develop team members through mentoring, coaching, and best practice collaboration to provide stretch opportunities. Performs all other related duties as assigned, including responding to production issues as needed 24x7x365. Performs in accordance with system-wide competencies/behaviors. Performs other duties as assigned. Ideal candidate will have 3+ years Azure (IaaS, PaaS, & SaaS) with 5+ years overall IT experience in mid to complex sized organizations or equivalent educational qualifications. Microsoft Azure Administrator and/or AWS certification preferred. Multi-cloud experience preferred. Must have sound understanding of SQL, Web, Networking, and Security best practices. Must have a Security mindset with an understanding of HIPAA and Data Privacy. Working knowledge of DevOps, application, and data integration. Understanding of Container services. Ability to script using PowerShell. Ability to develop complex Azure Resource Manager Templates. Ability to multi-task, manage projects, and have a production support mentality. Excellent written and verbal communication skills. Licensure, Certifications, and Clearances:Act 34UPMC is an Equal Opportunity Employer/Disability/Veteran",https://www.linkedin.com/jobs/view/cloud-engineer-senior-at-upmc-4309500161,Mid-Senior level,15-1251,Cloud Engineer,"['aws', 'azure', 'devops', 'sql']"
DevOps Engineer,Indotronix Avani Group,"Pittsburgh, PA",,"Position: Sr DevOps EngineerProvide locations: Pittsburgh, PA, Strongsville, OH - Hybrid - 3 days in office, 2 remoteAcceptable time zone(s): ESTDays of the week: Mon-Fri, 40 hoursWorking Hours (Flexible): 8-5 pm ESTIntended length of Assignment: 5-month contract to hireFunction of the Group: A Combination of mitigating risk, reducing costs, and generating revenue, but mostly mitigating riskIndustry Background: Open to all backgroundsTeam Dynamic: 11-12 member crew sizeResponsibilities:A DevOps Engineer to join our team and drivePipeline Automation.Code Deployment.Policy-As-Code initiatives and adoption.Code Quality, Standards, and Sonar Scan remediation.Infrastructure and Vulnerability management.Deep expertise in CI/CD tooling, scripting, and cross-functional collaboration to ensure scalable and efficient pipelines and infrastructure management.Design, implement, and maintain CI/CD pipelines using Jenkins, including writing and optimizing Groovy Scripts for job orchestration.Collaborate with Enterprise DevOps and the Development team to align and enforce policy as code standards, ensuring compliance and consistency across environments.Manage deployment workflows using IBM Urbancode Deploy (uDeploy), including configuration, troubleshooting, and rollout strategies.Develop and maintain batch scripts, Python automation, and manifest files to support infrastructure provisioning and application deployment.Lead and support Python-based deployment strategies, including packaging, environment management, and enforcing model validations in the pipeline.Monitor, troubleshoot, and enhance DevOps processes to improve reliability, scalability, and developer experience.Document configuration and best practices to support knowledge sharing of pipelines and operational consistency.Support and execute Change Request.Infrastructure Vulnerability management. Collaborate with the enterprise and run the bank team to address platform vulnerabilities.Sought out Skills:5+ years of hands-on DevOps experience.Strong proficiency with Jenkins, including writing Groovy scripts and remediating Sonar scan outcomes.Good to have experience implementing policy as code frameworks.Hands-on exposure with uDeploy, batch scripting, and manifest file management.5+ Mandatory experience with Bitbucket, handling GIT repository, GIT commands, versioning,Exposure to Python and writing unit tests.Excellent problem-solving and documentation skills.Good to have Ansible, Infrastructure as Code, Secrets management, access control, vulnerability scanning.Level 3: 5-7 YRSMust Have Technical Skills:Basic PythonBasic JavaBitbucketGithubGroovy ScriptingPerl ScriptingBash ScriptingMicrosoft Office toolsSonar ScanSoft Skills:Written and verbal communicationTeam playerEducation/Certifications:Bachelors PreferredA DevOps Cert is a plusRole Differentiator:Conversion possibility, growth opportunities are immense, there is always work and always ways to grow, and a place where you can be energized by new work and opportunities. Supporting the bank in a huge way in this department and very critical to the bank's success.Interview Process: 1st Round - Onsite - 2-3 person panel - 1 HR2nd Round may be needed - will be similar to round 1",https://www.linkedin.com/jobs/view/devops-engineer-at-indotronix-avani-group-4309777340,Mid-Senior level,15-1251,Cloud Engineer,"['ansible', 'devops', 'git', 'jenkins', 'python']"
Senior Devops Engineer,Maven Machines,"Pittsburgh, PA",,"Senior DevOps EngineerMaven is on a mission to automate trucking operations and transform how the world moves freight. Since 2014, Maven has empowered many of the nation’s top trucking and transportation fleets with critical operations software that keeps the economy moving.We operate at the intersection of operations software, real-time telematics, optimization research, and machine learning/AI, building technology that’s reshaping a massive industry. As one of the fastest-growing tech startups in the logistics space, we’re looking for exceptionally bright and talented individuals to join our world-class team.About The RoleToday, DevOps at Maven is a shared responsibility across engineering teams, encompassing infrastructure management, CI/CD, monitoring, developer productivity, and platform security. We are now building a dedicated DevOps team and are seeking a Senior DevOps Engineer to help lay the foundation. The ideal candidate has deep experience managing complex cloud infrastructure, is highly resourceful and entrepreneurially minded, and cares deeply about optimizing the developer experience.This is a technical leadership role requiring close collaboration across engineering and product teams. Maven is headquartered in Pittsburgh, PA, with a 4-day in-office policy. Exceptional remote candidates will be considered.What You'll DoOwn and manage Maven’s technical infrastructure, primarily on AWS (90%) with some services on GCP (10%).Support engineering and product teams with infrastructure needs to enable product development and scaling.Design and develop robust, performant CI/CD pipelines across all tech stacks.Identify and drive automation opportunities for infrastructure deployment and development workflows.Lead efforts to meet and exceed enterprise-grade security standards across applications and infrastructure.Participate in Maven’s on-call rotation.About YouBS/MS/PhD in Computer Science or a related field.5+ years in DevOps or a similar infrastructure-focused role.Expertise in AWS services across compute, databases, and networking; GCP experience a plus.Strong experience with Infrastructure-as-Code (Terraform, Ansible, Puppet, or similar).Skilled in containerization (Docker) and orchestration (Kubernetes).Excellent coding/scripting ability; you’re as comfortable at the CLI as you are writing tools and services.Outstanding problem-solving and communication skills.You’re results-driven, resourceful, and thrive in fast-paced, scaling startup environments.Benefits and PerksMedical, Dental, and Vision insurance401(k) with employer matchFlexible PTO policyA fun, high-energy company cultureJoin our TeamMaven is proud to be an equal opportunity employer. We believe that diverse backgrounds and experiences lead to stronger products and a more dynamic workplace.At Maven, you’ll find a smart, supportive, and passionate team, and a company culture that fosters professional growth.Learn more about us →",https://www.linkedin.com/jobs/view/senior-devops-engineer-at-maven-machines-4261969593,Mid-Senior level,15-1251,Cloud Engineer,"['ansible', 'aws', 'devops', 'docker', 'kubernetes', 'machine learning', 'puppet', 'terraform']"
"Software Engineer, Early Career, Campus",Google,"Pittsburgh, PA",,"The application window will be open until at least October 17, 2025. This opportunity will remain online based on business needs which may be before or after specified date.Applicants in the County of Los Angeles: Qualified applications with arrest or conviction records will be considered for employment in accordance with the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act.Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Mountain View, CA, USA; Cambridge, MA, USA; Kirkland, WA, USA; Los Angeles, CA, USA; New York, NY, USA; Pittsburgh, PA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Jose, CA, USA; Sunnyvale, CA, USA.Minimum qualifications:Bachelor's degree in Computer Science, a similar technical field of study, or equivalent practical experience.Experience working with data structures or algorithms during coursework/projects, research, internships, or practical experience in school or work (e.g. open-source coding).Experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).Preferred qualifications:Master's degree in Computer Science or a related technical field.Experience working with one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, or security software development.Experience developing accessible technologies.Ability to learn other coding languages as needed.About The JobGoogle's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.As a key member of a small and versatile team, you design, test, deploy and maintain software solutions.Google is an engineering company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google engineers are changing the world one technological achievement after another.The US base salary range for this full-time position is $118,000-$170,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google .ResponsibilitiesDesign, develop, test, deploy, maintain, and improve software.Manage project priorities, deadlines, and deliverables.Take on tasks as requested and follow through to completion despite roadblocks or distractions.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .",https://careers.google.com/jobs/results/79125737784648390-software-engineer/?src=Online/LinkedIn/linkedin_us&utm_source=linkedin&utm_medium=jobposting&utm_campaign=contract,Entry level,15-1251,Cloud Engineer,"['java', 'javascript', 'linux', 'machine learning', 'python']"
"Software Engineer, 2025 Recent Graduate",Duolingo,"Pittsburgh, PA",,"Our mission at Duolingo is to develop the best education in the world and make it universally available. It’s a big mission, and that’s where you come in!At Duolingo, you’ll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. You’ll have limitless learning opportunities and daily collaborations with world-class minds — while doing work that’s both meaningful and fun.Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.Read our blog to learn more. You will...Contribute to full-stack software projects by developing, testing, and maintaining features and services.Develop, release, and maintain services and/or infrastructureLead individual project priorities, deadlines, and deliverablesContribute to code reviews and collaborate across teams to ensure quality and scalability You have...Graduated between Spring 2024 - Spring 2025 Graduated with a B.S. or M.S. degree in Computer Science or related technical field (i.e. math, physics or data science)0-1 years of experience programming in one or more of the following languages: Java, Python, Kotlin or Swift.Dedication to our mission of universally available educationAbility to start and relocate by December 2025 Exceptional candidates will have...A GPA of 3.5+A Duolingo streak Why you'll love working here...Language learning opportunitiesCatered in-house lunches and breakfastCompany-wide HackathonPTO and company holidaysFrequent company-wide dinners, monthly celebrations, social clubs, and so much more!We post a multi-level salary range for all of our roles.This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.Salary Range$135,000—$200,000 USDTake a peek at how we care for our employees' holistic well-being with our benefits here.We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact accommodations@duolingo.com.Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.Sign up for job alerts here.",https://careers.duolingo.com/jobs/8167507002?gh_jid=8167507002&gh_src=81b1e41f2us,Entry level,15-1251,Cloud Engineer,"['data science', 'java', 'python', 'spring', 'swift']"
Senior Devops Engineer,System One,"Pittsburgh, PA",,"Additional Skills and Notes: Position Title: Senior Devops Engineer Position Location: PNC Tech HubProvide locations/flexible work by preference: 1. Pittsburgh PA  OR Cleveland OH - Strongsville Technology Center **Please note, the hiring team is not looking to source out of any other tech hubs at this time**Ability to work remote: Hybrid - 3 days in office, 2 remoteIntended length of Assignment: 3/31/2026Reason for open position: ReplacementFunction of the Group: Combination of mitigating risk, reducing costs and generating revenue but mostly mitigating riskIndustry background: Open to all backgroundsResponsibilities:DevOps Engineer to join our team and drivePipeline Automation.Code Deployment.Policy-As-Code initiatives and adoption.Code Quality, Standards and Sonar Scan remediation.Infrastructure and Vulnerability management.Deep expertise in CI/CD tooling, scripting, cross functional collaboration to ensure scalable and efficient pipelines and infrastructure management.Design, Implement, and maintain CI/CD pipelines using Jenkins, including writing, and optimizing Groovy Scripts for job orchestration.Collaborate with Enterprise Devops and Development team to align and enforce policy as code standards, ensuring compliance and consistency across environments.Manage deployment workflows using IBM Urbancode Deploy (uDeploy), including configuration, troubleshooting and rollout strategies.Develop and maintain batch scripts, python automation and manifest files to support infrastructure provisioning and application deployment.Lead and Support Python based deployment strategies, including packaging, environment management and enforce model validations in the pipeline.Monitor, troubleshoot and enhance DevOps processes to improve reliability, scalability, and developer experience.Document configuration and best practices to support knowledge sharing of pipelines and operation consistency.Support and execute Change Request.Infrastructure Vulnerability management. Collaborate with enterprise and run the bank team to address platform vulnerabilities.Sought out Skills:5+ years of hands on Devops experience.Strong proficiency with Jenkins, including writing groovy scripts, remediate sonar scan outcomes.Good to have experience implementing policy as code frameworks.Hands on exposure with uDeploy, batch scripting, and manifest file management.5+ Mandatory experience with bitbucket, handling GIT repository, GIT commands, versioning etc.,Exposure to Python and writing unit test.Excellent problem solving and documentation skills.Good to have Ansible, Infrastructure as Code, Secrets management, access control, vulnerability scanning.Must Have Technical Skills:Basic PythonBasic JavaBitbucketGithubGroovy ScriptingPerl ScriptingBash ScriptingMicrosoft office toolsSonar ScanEducation/Certifications:Bachelors PreferredDevOps Cert is a plusRole Differentiator: Conversion possibility, growth opportunities are immense, there is always work and always ways to grow and a place where you can be energized by new work and opportunities. Supporting the bank in a huge way in this department and very critical to the bank's success.Interview Process:1st Round - Onsite - 2-3 person panel - 1 HR2nd Round may be needed - will be similar to round 1Skills:BASH ScriptingBasic Javabasic pythonBitBucketGitHubGroovy ScriptingMICROSOFT OFFICE TOOLSPerl ScriptingSonar ScanShare your resume with ariz.khan@systemone.com. Also connect me at LinkedIn : (16) Ariz J. Khan | LinkedIn Ref: #404-IT Pittsburgh",https://www.linkedin.com/jobs/view/senior-devops-engineer%C2%A0-at-system-one-4311119395,Mid-Senior level,15-1251,Cloud Engineer,"['ansible', 'devops', 'git', 'jenkins', 'python']"
