title,company,location,avg_salary,description,redirect_url,experience_level,soc_code,job_category,matched_skills
"Staff Build and Release Engineer (Pittsburgh, PA).",Smith & Nephew,"Pittsburgh, Allegheny County",113058.98,"T hank you for considering employment with Smith and Nephew. This job opportunity is not currently available for hiring; however, this requisition was established for candidates to express interest in the below position, with a view to progress formally once we are in a position to do so. Life Unlimited. At SmithNephew, we design and manufacture technology that takes the limits off living. We are seeking an experienced Build and Release Engineer to join our team. As a Build and Release Engineer…",https://www.adzuna.com/land/ad/5401820086?se=JnmXS2Sk8BGQCJH2_VE84Q&utm_medium=api&utm_source=a6e23083&v=3B90231F4A2B091DE97F1BCE4F94095BC7541AEE,N/A,15-1252,DevOps,[]
Senior Database Administrator (Hybrid Work Options),CDM Smith,"Pittsburgh, Allegheny County",78492.74,"42667BR Requisition ID: 42667BR Business Unit: COR Job Description: We are seeking a highly skilled Senior Database Administrator to support and maintain multiple Oracle E-Business Suite (EBS) environments. This role also provides secondary support for a range of database platforms and cloud services, including Oracle Cloud Infrastructure (OCI), Amazon Web Services (AWS) Redshift, Microsoft SQL Server and other third-party database products. The ideal candidate will: - Demonstrate technical pro…",https://www.adzuna.com/details/5401658825?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,"['aws', 'sql']"
DevOps Engineer III - REMOTE,Net Health,"Pittsburgh, Allegheny County",135000.0,"About Net Healthâ¯â¯ Belong. Thrive. Make a Difference. â¯â¯ Are you looking for a meaningful and satisfying career where you have endless opportunities to grow and be financially rewarded? Net Health may be the perfect place for you.â¯â¯â¯ A high-growthâ¯and profitable company, we help caregivers harness data for human health.â¯Weâ¯alsoâ¯honor and respect the needs of our Net Health family and staff,â¯which is why weâ¯offer aâ¯work-from-anywhere environment and unlimited PTO.â¯O…",https://www.adzuna.com/details/5400992123?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Senior Cloud Engineer (Hybrid),Dollar Bank,"Pittsburgh, Allegheny County",71951.2,"Job Description Bachelor's degree in computer science, Information Systems, or other related field, or commensurate experience. Five years’ experience with: Cloud platforms like Amazon Web Services, or Microsoft Azure. Scripting via languages like PowerShell or Python. Microsoft Server and Client Operating Systems. Troubleshooting server and system-related issues. Certificate, Licenses and Registration Requirements: AWS or Azure Associate Certifications or greater is required. Knowledge, Skill,…",https://www.adzuna.com/land/ad/5400159870?se=JnmXS2Sk8BGQCJH2_VE84Q&utm_medium=api&utm_source=a6e23083&v=D6FFED6FAB4931B31BA4A72D09B28AD17CA9ABF0,N/A,15-1252,DevOps,"['aws', 'azure', 'python']"
"Vice President, Full-Stack Engineer",BNY,"Bloomfield, Allegheny County",345321.66,"Vice President, Full-Stack Engineer At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide. Recognized as a to…",https://www.adzuna.com/land/ad/5399339886?se=JnmXS2Sk8BGQCJH2_VE84Q&utm_medium=api&utm_source=a6e23083&v=BC6F7879C4AC7BAFED63BC56BEAD91E16DC68E1A,N/A,15-1252,DevOps,[]
Staff Software Engineer - Fleet Intelligence,Aurora Innovation,"Pittsburgh, Allegheny County",222000.0,"Staff Software Engineer, Full Stack – Fleet Intelligence The Fleet Intelligence team sits at the core of Aurora’s mission to scale safe autonomous driving. We build systems that synthesize data across our entire ecosystem—from vehicles, operators, and external sources—to improve real-time self-driving capabilities and operational excellence across our entire fleet. In this role, you will Architect and drive strategic initiatives to build scalable full-stack web services that power real-time and…",https://www.adzuna.com/details/5398507092?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Infrastructure Archtect Sr.,PNC Bank,"Pittsburgh, Allegheny County",132575.0,"Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. This position is primarily based in a location within PNC's footprint. Successful infrastructure architects are individual cont…",https://www.adzuna.com/details/5398464643?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
"Senior Software Engineer – Fraud Platform (Java, Microservices, CI/CD)",System One,"Bloomfield, Allegheny County",141154.56,"Position Title: Senior Software Engineer – Fraud Platform (Java, Microservices, CI/CD) Reason for open position: New Developer resources needed for Pindrop passport as well as building out the existing Pindrop crew Provide locations/flexible work by preference: Dallas ONLY North Texas Market TX - Dallas Innovation Center - Luna Rd 11511 Luna Rd Farmers Branch, TX 75234 Ability to work remote: Hybrid, days in office, 2 Remote OT: No regular requirement Intended length of Assignment:04/30/26 Func…",https://www.adzuna.com/land/ad/5397918157?se=JnmXS2Sk8BGQCJH2_VE84Q&utm_medium=api&utm_source=a6e23083&v=641AD6B03FC226D1D033FA77B7218623448A11F9,N/A,15-1252,DevOps,['java']
Lead Full Stack Developer - Java | Angular | DevOps,System One,"Pittsburgh, Allegheny County",106573.03,"Position Title: Lead Full Stack Developer - Java | Angular | DevOps Provide locations/flexible work by preference: Pittsburgh PA OR Cleveland OH - Strongsville Technology Center. Ability to work remote: Hybrid - 3 days in office, 2 remotes Intended length of Assignment: 12/19/2025 Reason for open position: Backfill Potential for Contract Extension: Yes Function of the Group: Support the capital markets business, revenue generating profit center, reduce costs (regulatory reporting) Roles and Res…",https://www.adzuna.com/details/5397812997?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,"['angular', 'devops', 'java']"
Angular Java Lead,System One,"Pittsburgh, Allegheny County",75676.6,"Position Title: Java Angular Lead Pittsburgh PA - Two PNC Plaza 620 Liberty Ave Pittsburgh, PA 15222 Cleveland OH - Strongsville Technology Center 8100 Mohawk Dr. Strongsville, OH 44136 Birmingham AL - Birmingham - Brock 701 32nd St. South Birmingham, AL 35233 North Texas Market TX - Dallas Innovation Center - Luna Rd 11511 Luna Rd Farmers Branch, TX 75234 Phoenix - Biltmore 2850 E Camelback Rd Phoenix AZ 85016 Ability to work remote: Hybrid 2-3days in office Potential for Contract Extension: y…",https://www.adzuna.com/details/5397812993?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,"['angular', 'java']"
"Senior Software Engineer - Fraud Platform (Java, Microservices, CI/CD)",System One,"Pittsburgh, Allegheny County",103969.13,"Position Title: Senior Software Engineer - Fraud Platform (Java, Microservices, CI/CD) Reason for open position: New Developer resources needed for Pindrop passport as well as building out the existing Pindrop crew Provide locations/flexible work by preference: Dallas ONLY North Texas Market TX - Dallas Innovation Center - Luna Rd 11511 Luna Rd Farmers Branch, TX 75234 Ability to work remote: Hybrid, days in office, 2 Remote OT: No regular requirement Intended length of Assignment:04/30/26 Func…",https://www.adzuna.com/details/5397813001?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,['java']
Infrastructure Archtect Sr.,PNC,"Pittsburgh, Allegheny County",120946.44,"Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company's success. This position is primarily based in a location within PNC's footprint. Successful infrastructure architects are individual cont…",https://www.adzuna.com/details/5397812454?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Product Lead - APIs and Software Development,Deloitte,"Pittsburgh, Allegheny County",118713.16,"Our Deloitte AI & Engineering team to transform technology platforms, drive innovation, and help make a significant impact on our clients' success. You'll work alongside talented professionals reimagining and reengineering operations and processes that are critical to businesses. Your contributions can help clients improve financial performance, accelerate new digital ventures, and fuel growth through innovation. Work You'll Do As a Project Delivery Specialist on the project, you will:  Define …",https://www.adzuna.com/details/5397807913?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Angular Java Lead,System One,"Pittsburgh, Allegheny County",68372.68,"Position Title: Java Angular Lead Pittsburgh PA - Two PNC Plaza 620 Liberty Ave Pittsburgh, PA 15222 Cleveland OH - Strongsville Technology Center 8100 Mohawk Dr. Strongsville, OH 44136 Birmingham AL - Birmingham - Brock 701 32nd St. South Birmingham, AL 35233 North Texas Market TX - Dallas Innovation Center - Luna Rd 11511 Luna Rd Farmers Branch, TX 75234 Phoenix - Biltmore 2850 E Camelback Rd Phoenix AZ 85016 Ability to work remote: Hybrid 2-3days in office Potential for Contract Extension: y…",https://www.adzuna.com/details/5397186636?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,"['angular', 'java']"
"Senior Software Engineer – Fraud Platform (Java, Microservices, CI/CD)",System One,"Pittsburgh, Allegheny County",92027.43,"Position Title: Senior Software Engineer – Fraud Platform (Java, Microservices, CI/CD) Reason for open position: New Developer resources needed for Pindrop passport as well as building out the existing Pindrop crew Provide locations/flexible work by preference: Dallas ONLY North Texas Market TX - Dallas Innovation Center - Luna Rd 11511 Luna Rd Farmers Branch, TX 75234 Ability to work remote: Hybrid, days in office, 2 Remote OT: No regular requirement Intended length of Assignment:04/30/26 Func…",https://www.adzuna.com/details/5397186606?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,['java']
Lead Full Stack Developer – Java | Angular | DevOps,System One,"Pittsburgh, Allegheny County",93151.48,"Position Title: Lead Full Stack Developer – Java | Angular | DevOps Provide locations/flexible work by preference: Pittsburgh PA OR Cleveland OH - Strongsville Technology Center. Ability to work remote: Hybrid - 3 days in office, 2 remotes Intended length of Assignment: 12/19/2025 Reason for open position: Backfill Potential for Contract Extension: Yes Function of the Group: Support the capital markets business, revenue generating profit center, reduce costs (regulatory reporting) Roles and Res…",https://www.adzuna.com/details/5397186648?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,"['angular', 'devops', 'java']"
Network & Automation Engineer Intern,Thermo Fisher Scientific,"Pittsburgh, Allegheny County",52260.0,"Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description Join Thermo Fisher Scientific to contribute to meaningful projects, support career growth, and make a real difference with a dedicated team. Interns receive mentorship and leadership opportunities for career growth. Options include returning as an intern, joining Leadership Development Programs, or transitioning to a full-time role. How will you make an impact? Infrastructure Automation: Assist in developing and de…",https://www.adzuna.com/details/5396946091?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Lead Full Stack Developer – Java | Angular | DevOps,System One,"Bloomfield, Allegheny County",102571.34,"Position Title: Lead Full Stack Developer – Java | Angular | DevOps Provide locations/flexible work by preference: Pittsburgh PA OR Cleveland OH - Strongsville Technology Center. Ability to work remote: Hybrid - 3 days in office, 2 remotes Intended length of Assignment: 12/19/2025 Reason for open position: Backfill Potential for Contract Extension: Yes Function of the Group: Support the capital markets business, revenue generating profit center, reduce costs (regulatory reporting) Roles and Res…",https://www.adzuna.com/land/ad/5396403784?se=JnmXS2Sk8BGQCJH2_VE84Q&utm_medium=api&utm_source=a6e23083&v=8E0D0A92B45F7125B37D4D03B219C858F2B95C2B,N/A,15-1252,DevOps,"['angular', 'devops', 'java']"
Angular Java Lead,System One,"Bloomfield, Allegheny County",138835.4,"Position Title: Java Angular Lead Pittsburgh PA - Two PNC Plaza 620 Liberty Ave Pittsburgh, PA 15222 Cleveland OH - Strongsville Technology Center 8100 Mohawk Dr. Strongsville, OH 44136 Birmingham AL - Birmingham - Brock 701 32nd St. South Birmingham, AL 35233 North Texas Market TX - Dallas Innovation Center - Luna Rd 11511 Luna Rd Farmers Branch, TX 75234 Phoenix - Biltmore 2850 E Camelback Rd Phoenix AZ 85016 Ability to work remote: Hybrid 2-3days in office Potential for Contract Extension: y…",https://www.adzuna.com/land/ad/5396374577?se=JnmXS2Sk8BGQCJH2_VE84Q&utm_medium=api&utm_source=a6e23083&v=2984C8646F1385B7FD02A691D8CD9406B51EE7FC,N/A,15-1252,DevOps,"['angular', 'java']"
"Senior Vice President, Site Reliability Engineer",BNY Mellon,"Pittsburgh, Allegheny County",169215.12,"Description At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide. Recognized as a top destination for innova…",https://www.adzuna.com/details/5394852480?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Network & Automation Engineer Intern,ThermoFisher Scientific,"Pittsburgh, Allegheny County",59577.39,"Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description Join Thermo Fisher Scientific to contribute to meaningful projects, support career growth, and make a real difference with a dedicated team. Interns receive mentorship and leadership opportunities for career growth. Options include returning as an intern, joining Leadership Development Programs, or transitioning to a full-time role. How will you make an impact?  Infrastructure Automation: Assist in developing and d…",https://www.adzuna.com/details/5394155183?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Microsoft D365 ERP Functional Solution Architect Manager,PwC,"Pittsburgh, Allegheny County",177201.88,"Specialty/Competency: Microsoft Industry/Sector: Not Applicable Time Type: Full time Travel Requirements: Up to 80% A career in our Microsoft Dynamics team will provide the opportunity to help our clients transform their technology landscape across Front, Back and Mid-Office functions leveraging Microsoft Dynamics. We focus on contributing to PwC's value proposition of ""strategy led and technology enabled"", by aligning our Consulting Solutions' industry focus with the Microsoft technologies suc…",https://www.adzuna.com/details/5394154135?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Senior Performance Engineer - INTL - India,Insight Global,"Pittsburgh, Allegheny County",139124.22,"Job Description We are seeking a technical Senior Performance Engineer to own the scalability, reliability, and responsiveness of enterprise-level, multi-platform software products. This person will work closely on web, API, and mobile interfaces, with responsibilities around designing, executing, and analyzing performance tests in order to optimize the system performance. Key Responsibilities include: Develop and execute performance, load, stress, and scalability tests Monitor application perf…",https://www.adzuna.com/details/5394145935?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Associate CRM Business Analyst,Fortive,"Brookline, Allegheny County",76888.87,"Description Associate CRM Business Analyst Position Overview: We are seeking an Associate CRM Business Analyst who will be responsible for supporting, configuring, and improving our Salesforce environment while also gathering requirements, documenting processes, and collaborating with business stakeholders. This role is ideal for someone with strong Salesforce administration experience who also wants to grow into business analysis, bridging the gap between users and technical teams. The role wi…",https://www.adzuna.com/details/5388499673?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
"Enterprise Utilities GIS Architect, Manager",PwC,"Pittsburgh, Allegheny County",131367.4,"Specialty/Competency: Functional & Industry Technologies Industry/Sector: Not Applicable Time Type: Full time Travel Requirements: Up to 60% At PwC, our people in business application consulting specialise in consulting services for a variety of business applications, helping clients optimise operational efficiency. These individuals analyse client needs, implement software solutions, and provide training and support for seamless integration and utilisation of business applications, enabling cl…",https://www.adzuna.com/details/5388247471?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Salesforce Marketing Cloud Developer - INTL - LATAM c85f77a7,Insight Global,"Pittsburgh, Allegheny County",115373.02,Job Description Insight Global's manufacturing client is seeking a dynamic and detail-oriented Salesforce Admin/Developer to support our Digital Organization. This role will be instrumental in maintaining and enhancing our Salesforce platform to drive digital transformation across business units. The ideal candidate will combine strong technical expertise with a collaborative mindset to deliver scalable solutions that align with PPG's strategic goals. We are a company committed to creating dive…,https://www.adzuna.com/details/5388243027?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
Associate CRM Business Analyst,Fortive Corporation,"Pittsburgh, Allegheny County",76649.31,"Associate CRM Business Analyst Position Overview: We are seeking an Associate CRM Business Analyst who will be responsible for supporting, configuring, and improving our Salesforce environment while also gathering requirements, documenting processes, and collaborating with business stakeholders. This role is ideal for someone with strong Salesforce administration experience who also wants to grow into business analysis, bridging the gap between users and technical teams. The role will be worked…",https://www.adzuna.com/details/5386762504?utm_medium=api&utm_source=a6e23083,N/A,15-1252,DevOps,[]
